id,gender,birthday,region,last_visited
67,М,2009-05-02 03:09:46,Город Москва,2023-09-18 10:12:15.464744
68,М,2007-07-06 01:41:10,Город Москва,2023-10-17 09:16:34.464746
69,Ж,2008-02-10 15:49:02,Город Санкт-Петербург,2023-09-23 05:55:23.464749
70,Ж,2008-08-23 13:49:37,Город Москва,2023-10-08 13:18:12.464751
71,Ж,2010-01-21 10:46:30,Новосибирская область,2023-10-15 01:15:36.464753
72,М,2009-08-04 09:16:16,Город Москва,2023-10-04 00:40:07.464756
73,Ж,2008-12-19 13:55:16,Город Москва,2023-10-16 01:36:41.464758
74,М,2009-06-26 11:35:26,Город Санкт-Петербург,2023-10-02 14:03:07.464761
75,Ж,2008-05-16 13:39:12,Нижегородская область,2023-09-27 09:07:58.464763
76,М,2007-05-30 14:10:16,Город Москва,2023-10-12 08:52:23.464766
77,М,2008-09-20 14:04:24,Город Москва,2023-09-19 00:59:24.464768
78,М,2010-07-16 20:29:44,Город Москва,2023-09-19 10:11:53.464771
79,Ж,2006-11-10 18:23:42,Город Москва,2023-10-14 14:03:48.464774
80,М,2010-04-26 08:58:48,Нижегородская область,2023-10-04 13:12:14.464776
81,Ж,2007-11-01 23:06:42,Город Санкт-Петербург,2023-10-14 09:18:58.464779
82,М,2009-06-08 21:47:59,Краснодарский край,2023-09-27 02:12:48.464781
83,Ж,2010-10-05 03:49:57,Новосибирская область,2023-09-29 09:31:43.464784
84,М,2007-02-20 06:15:51,Город Москва,2023-09-19 17:44:19.464786
85,М,2008-06-02 09:28:12,Новосибирская область,2023-10-08 00:49:38.464788
86,Ж,2009-04-02 02:03:34,Город Санкт-Петербург,2023-09-21 19:03:37.464791
87,Ж,2008-11-03 12:57:11,Город Москва,2023-10-09 15:59:07.464793
88,М,2007-06-04 22:17:53,Город Москва,2023-09-25 19:38:56.464796
89,М,2007-01-04 07:48:00,Город Санкт-Петербург,2023-09-20 01:27:27.464798
90,М,2006-10-24 17:27:47,Город Санкт-Петербург,2023-10-05 09:02:12.464800
91,М,2010-05-20 23:52:40,Город Москва,2023-09-21 04:02:18.464802
92,М,2007-02-07 03:49:19,Нижегородская область,2023-09-23 15:11:01.464805
93,Ж,2008-11-09 21:32:59,Новосибирская область,2023-09-22 00:46:02.464807
94,М,2008-10-16 03:18:25,Город Москва,2023-10-07 03:00:27.464810
95,Ж,2009-10-25 14:17:43,Город Москва,2023-10-08 17:42:44.464812
96,М,2009-08-01 07:08:11,Новосибирская область,2023-09-29 11:26:32.464815
97,Ж,2008-10-29 21:14:40,Новосибирская область,2023-10-03 14:16:05.464818
98,М,2009-05-26 03:35:50,Город Москва,2023-10-01 13:06:04.464820
99,Ж,2008-11-04 08:34:48,Город Москва,2023-09-29 16:22:15.464823
100,М,2008-10-28 04:59:21,Нижегородская область,2023-09-27 08:11:42.464825
101,М,2009-06-09 17:57:37,Город Москва,2023-10-11 20:40:43.464828
102,Ж,2008-12-31 07:49:28,Город Москва,2023-10-02 10:28:01.464830
103,Ж,2007-10-05 14:45:22,Город Санкт-Петербург,2023-10-13 04:11:07.464833
104,Ж,2007-09-10 03:46:13,Город Москва,2023-10-15 18:59:54.464835
105,М,2008-07-10 23:05:55,Город Санкт-Петербург,2023-10-07 08:26:19.464838
106,М,2008-11-01 04:04:32,Город Москва,2023-09-21 11:03:45.464840
107,М,2010-09-25 00:02:32,Город Москва,2023-09-26 16:51:53.464843
108,М,2009-06-12 00:29:10,Город Москва,2023-10-16 00:36:15.464845
109,Ж,2009-12-06 00:50:57,Город Москва,2023-10-09 23:38:22.464847
110,М,2007-03-31 23:18:58,Город Москва,2023-09-21 14:50:05.464855
111,Ж,2010-04-29 22:38:51,Город Москва,2023-10-07 21:49:37.464858
112,М,2009-10-03 13:49:51,Город Санкт-Петербург,2023-09-28 17:19:32.464861
113,Ж,2008-10-21 13:48:42,Город Москва,2023-09-26 07:15:05.464863
114,М,2007-01-03 14:26:28,Город Москва,2023-09-20 07:53:22.464866
115,Ж,2010-06-02 00:47:58,Город Санкт-Петербург,2023-10-13 20:50:59.464868
116,Ж,2009-05-04 16:28:15,Город Санкт-Петербург,2023-10-05 09:36:51.464871
117,М,2007-12-09 19:02:38,Город Москва,2023-10-11 21:47:27.464873
118,Ж,2010-07-05 14:34:14,Город Москва,2023-09-30 00:11:53.464876
119,Ж,2008-02-09 05:25:54,Город Москва,2023-10-08 20:39:16.464878
120,Ж,2007-08-12 10:11:34,Нижегородская область,2023-10-13 07:03:20.464880
121,М,2009-06-17 06:26:03,Город Москва,2023-10-04 06:39:04.464882
122,Ж,2006-11-27 05:13:33,Нижегородская область,2023-10-01 14:14:44.464885
123,Ж,2009-01-31 19:20:06,Город Москва,2023-09-23 01:30:30.464887
124,М,2010-03-12 11:44:48,Город Москва,2023-09-28 11:56:10.464889
125,Ж,2008-08-13 12:08:41,Город Москва,2023-10-14 05:22:29.464892
126,Ж,2009-08-01 22:48:06,Город Москва,2023-10-05 23:26:06.464894
127,М,2009-07-09 12:14:03,Город Москва,2023-09-21 11:47:29.464897
128,Ж,2008-05-06 08:38:51,Город Санкт-Петербург,2023-10-07 22:45:35.464899
129,М,2007-11-12 11:42:13,Город Москва,2023-09-22 19:41:34.464901
130,М,2010-06-11 18:06:52,Краснодарский край,2023-09-30 04:47:51.464904
131,М,2007-12-20 12:02:48,Нижегородская область,2023-09-21 05:51:03.464907
132,Ж,2010-09-28 06:05:10,Нижегородская область,2023-10-02 11:20:25.464909
133,М,2008-06-07 06:06:33,Город Москва,2023-10-11 04:12:39.464912
134,М,2009-04-08 04:54:18,Краснодарский край,2023-10-07 02:11:59.464914
135,М,2010-08-16 07:24:36,Город Москва,2023-09-24 22:43:27.464917
136,Ж,2009-07-12 03:31:19,Город Санкт-Петербург,2023-09-26 10:48:33.464919
137,М,2008-11-30 23:11:37,Город Москва,2023-09-18 21:05:14.464921
138,Ж,2008-06-04 14:10:18,Город Москва,2023-09-20 14:24:26.464924
139,Ж,2008-09-21 06:45:24,Город Санкт-Петербург,2023-09-20 17:13:49.464926
140,Ж,2008-05-07 10:18:13,Город Москва,2023-10-14 04:21:17.464929
141,М,2010-09-06 15:27:53,Нижегородская область,2023-09-28 15:51:48.464931
142,Ж,2006-11-30 15:33:52,Нижегородская область,2023-09-28 14:13:19.464934
143,Ж,2009-12-12 16:44:26,Город Москва,2023-09-19 04:17:48.464936
144,М,2009-05-22 16:45:04,Город Москва,2023-09-19 06:09:47.464939
145,М,2010-04-20 10:48:33,Город Москва,2023-09-30 06:10:18.464941
146,М,2009-10-14 22:19:14,Город Москва,2023-10-11 16:35:52.464944
147,Ж,2006-12-18 08:26:47,Город Москва,2023-09-21 08:02:02.464946
148,М,2007-05-25 06:27:30,Город Москва,2023-10-09 02:17:42.464949
149,Ж,2010-02-23 17:12:30,Город Москва,2023-10-08 11:20:47.464952
150,Ж,2007-10-20 19:46:26,Город Москва,2023-10-10 11:41:25.464954
151,Ж,2007-04-04 12:08:55,Город Санкт-Петербург,2023-09-28 06:11:28.464956
152,Ж,2009-10-29 02:02:09,Краснодарский край,2023-10-11 14:35:29.464959
153,М,2008-04-16 12:50:00,Город Санкт-Петербург,2023-10-07 22:08:12.464961
154,Ж,2008-05-29 05:59:38,Город Санкт-Петербург,2023-10-07 10:27:08.464964
155,М,2007-09-15 03:57:47,Город Москва,2023-09-22 23:55:36.464966
156,М,2007-11-29 14:33:48,Город Москва,2023-10-13 00:59:45.464968
157,Ж,2009-07-05 14:45:09,Город Москва,2023-09-26 01:24:00.464971
158,М,2010-01-10 19:00:13,Город Москва,2023-09-22 23:56:21.464973
159,М,2006-11-04 16:11:02,Новосибирская область,2023-10-09 19:58:41.464976
160,Ж,2009-08-11 09:14:23,Краснодарский край,2023-10-06 23:58:20.464978
161,М,2009-12-12 12:26:51,Новосибирская область,2023-09-21 22:09:25.464981
162,М,2008-02-16 08:11:14,Город Москва,2023-09-26 08:43:40.464983
163,М,2008-02-09 02:35:35,Город Москва,2023-09-23 06:26:36.464986
164,М,2009-12-24 15:41:37,Город Москва,2023-10-01 22:14:05.464989
165,Ж,2008-07-12 22:07:24,Краснодарский край,2023-10-09 16:03:24.464991
166,М,2009-08-15 22:26:46,Город Санкт-Петербург,2023-10-06 18:42:42.464993
167,Ж,2010-02-15 10:54:20,Новосибирская область,2023-10-05 06:26:49.464996
168,М,2009-08-28 01:46:38,Город Москва,2023-10-11 13:29:01.464998
169,Ж,2007-10-21 16:04:20,Город Санкт-Петербург,2023-10-16 23:40:30.465000
170,М,2007-07-12 02:48:39,Город Москва,2023-10-16 19:34:18.465003
171,М,2009-06-20 17:38:30,Город Москва,2023-10-07 22:53:29.465005
172,Ж,2008-04-29 07:17:27,Город Москва,2023-09-20 22:07:38.465007
173,Ж,2009-11-28 15:01:55,Город Москва,2023-10-06 02:30:47.465010
174,М,2009-11-04 17:34:27,Город Москва,2023-10-09 13:12:16.465012
175,М,2008-03-22 18:21:29,Город Санкт-Петербург,2023-10-12 03:24:21.465015
176,М,2010-02-11 02:56:18,Город Москва,2023-10-08 15:26:51.465017
177,М,2010-01-31 00:59:15,Нижегородская область,2023-10-14 07:51:26.465020
178,М,2007-05-27 12:51:05,Краснодарский край,2023-09-21 23:04:43.465022
179,Ж,2008-11-23 13:05:09,Краснодарский край,2023-10-05 16:13:51.465024
180,М,2009-03-16 20:55:13,Новосибирская область,2023-10-07 06:29:32.465027
181,Ж,2010-05-04 20:10:21,Нижегородская область,2023-09-29 04:35:03.465029
182,М,2007-03-19 02:29:56,Город Москва,2023-09-30 19:00:03.465032
183,Ж,2008-06-04 07:56:14,Город Москва,2023-10-04 09:27:46.465034
184,Ж,2009-10-24 07:52:23,Краснодарский край,2023-10-03 03:58:35.465036
185,Ж,2007-03-06 18:37:33,Краснодарский край,2023-10-05 21:02:21.465039
186,Ж,2009-11-25 01:31:42,Город Москва,2023-09-20 07:32:43.465041
187,Ж,2008-02-21 14:05:38,Новосибирская область,2023-09-29 14:55:55.465044
188,Ж,2008-04-08 07:36:47,Город Москва,2023-10-04 08:37:38.465046
189,Ж,2010-07-21 02:20:30,Новосибирская область,2023-09-25 22:44:44.465049
190,Ж,2010-04-01 16:31:21,Город Москва,2023-09-23 17:51:31.465051
191,М,2010-02-20 10:13:28,Город Санкт-Петербург,2023-09-19 20:32:30.465054
192,Ж,2008-01-30 07:42:28,Краснодарский край,2023-10-03 15:10:09.465056
193,Ж,2007-10-30 16:45:51,Нижегородская область,2023-09-30 14:49:19.465058
194,М,2007-10-09 07:06:38,Город Санкт-Петербург,2023-10-09 14:22:34.465061
195,М,2009-01-06 21:26:55,Краснодарский край,2023-09-21 20:56:06.465063
196,М,2009-02-12 12:33:06,Город Москва,2023-09-22 12:04:02.465066
197,Ж,2010-07-06 07:28:13,Город Санкт-Петербург,2023-09-28 11:27:15.465068
198,Ж,2009-11-29 10:12:43,Нижегородская область,2023-10-02 04:56:47.465070
199,Ж,2010-05-10 09:34:11,Краснодарский край,2023-09-30 13:14:18.465073
200,Ж,2007-02-20 10:20:14,Город Москва,2023-10-09 16:45:00.465075
201,М,2010-06-18 01:06:00,Город Москва,2023-10-03 01:15:15.465077
202,Ж,2010-04-08 04:54:04,Город Санкт-Петербург,2023-10-06 03:19:48.465080
203,Ж,2010-07-22 13:39:41,Город Санкт-Петербург,2023-10-17 16:55:00.465082
204,Ж,2008-06-18 20:32:51,Город Санкт-Петербург,2023-09-30 17:25:55.465085
205,М,2009-06-13 03:33:12,Новосибирская область,2023-09-27 15:35:36.465087
206,Ж,2007-01-24 00:46:30,Город Санкт-Петербург,2023-10-13 21:54:59.465090
207,Ж,2009-02-09 01:28:51,Город Москва,2023-09-18 23:14:16.465092
208,Ж,2010-01-30 07:56:04,Город Москва,2023-10-08 12:50:48.465095
209,Ж,2008-02-04 16:25:40,Новосибирская область,2023-10-11 09:57:02.465097
210,Ж,2010-09-11 18:56:14,Город Москва,2023-10-03 05:22:12.465099
211,Ж,2009-03-13 07:42:02,Город Москва,2023-10-05 05:52:45.465102
212,Ж,2010-02-24 10:31:52,Город Санкт-Петербург,2023-10-11 08:32:26.465104
213,Ж,2008-07-24 22:22:01,Краснодарский край,2023-09-20 13:57:46.465106
214,М,2009-08-18 11:14:04,Новосибирская область,2023-09-30 18:56:55.465109
215,М,2009-11-01 20:46:28,Краснодарский край,2023-09-26 13:20:19.465111
216,Ж,2008-02-10 14:51:21,Город Санкт-Петербург,2023-10-05 20:51:46.465113
217,Ж,2010-10-09 23:00:50,Новосибирская область,2023-09-28 18:02:01.465116
218,М,2010-06-03 13:22:43,Город Москва,2023-09-29 18:35:03.465118
219,М,2010-02-02 22:00:10,Город Москва,2023-10-06 08:28:02.465121
220,М,2009-03-14 17:14:24,Город Москва,2023-10-07 06:35:10.465123
221,Ж,2010-04-30 23:37:32,Город Москва,2023-10-09 07:02:48.465125
222,Ж,2008-07-12 16:22:33,Новосибирская область,2023-10-10 23:46:55.465128
223,Ж,2008-05-15 02:30:45,Город Москва,2023-10-01 16:53:16.465130
224,Ж,2008-05-01 06:19:47,Нижегородская область,2023-10-07 14:50:39.465132
225,М,2007-10-17 22:47:10,Нижегородская область,2023-10-02 11:47:03.465135
226,М,2008-07-29 05:39:53,Новосибирская область,2023-09-27 07:54:17.465137
227,М,2008-05-04 18:25:37,Город Москва,2023-10-05 07:30:34.465139
228,Ж,2006-12-30 05:04:26,Новосибирская область,2023-09-29 22:50:13.465142
229,М,2008-08-16 14:08:09,Город Москва,2023-09-28 11:52:32.465144
230,Ж,2009-06-27 04:53:39,Нижегородская область,2023-10-04 17:25:33.465147
231,Ж,2008-11-01 11:03:58,Город Санкт-Петербург,2023-10-05 11:10:11.465149
232,М,2010-01-07 15:23:43,Нижегородская область,2023-10-17 18:42:31.465152
233,М,2009-09-23 15:09:53,Город Санкт-Петербург,2023-09-27 08:07:53.465154
234,М,2008-01-25 04:43:36,Город Москва,2023-10-10 02:41:33.465157
235,Ж,2007-10-31 15:27:10,Краснодарский край,2023-10-13 00:49:34.465159
236,М,2007-02-06 22:34:14,Город Санкт-Петербург,2023-09-18 18:22:32.465161
237,Ж,2010-02-20 05:40:15,Новосибирская область,2023-09-20 11:19:48.465164
238,М,2009-04-09 13:01:17,Нижегородская область,2023-09-18 23:48:01.465166
239,Ж,2010-04-19 00:45:46,Город Москва,2023-10-14 00:51:56.465169
240,Ж,2009-01-27 08:32:36,Краснодарский край,2023-09-27 05:46:44.465171
241,М,2010-04-28 06:21:00,Краснодарский край,2023-10-08 00:48:01.465173
242,Ж,2007-04-05 02:33:05,Город Москва,2023-10-13 16:06:31.465176
243,Ж,2006-12-30 19:34:53,Город Санкт-Петербург,2023-09-22 06:07:56.465179
244,М,2008-06-10 19:03:22,Город Москва,2023-10-16 00:44:44.465181
245,М,2010-01-07 23:02:28,Краснодарский край,2023-10-03 06:48:13.465184
246,Ж,2009-04-03 13:28:36,Город Санкт-Петербург,2023-09-21 05:42:23.465186
247,М,2008-03-02 23:35:35,Город Москва,2023-09-27 09:37:13.465188
248,Ж,2008-05-02 16:57:02,Город Москва,2023-10-17 09:43:38.465191
249,Ж,2010-07-24 12:46:56,Город Москва,2023-09-28 06:08:22.465193
250,М,2007-10-26 23:02:06,Краснодарский край,2023-10-16 18:41:14.465195
251,М,2008-02-11 07:45:57,Нижегородская область,2023-10-01 08:40:29.465198
252,Ж,2006-11-19 20:49:23,Город Москва,2023-09-24 07:20:58.465200
253,М,2008-09-05 13:44:24,Город Москва,2023-10-10 10:57:22.465203
254,Ж,2008-08-04 10:29:35,Краснодарский край,2023-10-14 17:34:03.465205
255,Ж,2008-06-07 00:50:59,Город Санкт-Петербург,2023-09-22 11:36:49.465207
256,М,2009-06-25 01:39:49,Нижегородская область,2023-09-18 04:51:22.465210
257,М,2009-04-13 18:01:41,Город Москва,2023-09-18 04:09:25.465213
258,Ж,2009-11-28 21:57:00,Нижегородская область,2023-09-19 12:31:42.465215
259,М,2010-08-14 08:09:17,Город Санкт-Петербург,2023-10-14 17:46:57.465218
260,М,2008-10-28 09:43:45,Краснодарский край,2023-09-30 18:45:17.465220
261,Ж,2007-11-01 02:13:06,Город Москва,2023-09-30 10:34:08.465223
262,Ж,2006-11-11 19:09:29,Город Санкт-Петербург,2023-10-17 20:17:52.465225
263,Ж,2007-01-17 01:24:00,Краснодарский край,2023-10-05 03:20:31.465228
264,Ж,2009-06-11 04:32:07,Город Москва,2023-10-02 20:33:37.465230
265,Ж,2007-11-07 11:31:49,Город Санкт-Петербург,2023-09-27 05:22:08.465233
266,М,2008-08-16 11:42:39,Город Санкт-Петербург,2023-10-01 23:16:06.465235
267,Ж,2007-12-08 14:36:35,Нижегородская область,2023-10-04 17:52:09.465237
268,Ж,2010-01-05 15:38:17,Новосибирская область,2023-10-04 15:52:15.465240
269,М,2007-12-05 02:47:08,Город Москва,2023-10-07 05:34:47.465242
270,М,2007-05-22 02:46:54,Новосибирская область,2023-10-09 02:59:58.465245
271,Ж,2008-09-15 04:29:16,Новосибирская область,2023-10-08 07:06:21.465247
272,М,2008-10-26 19:26:57,Город Москва,2023-10-10 21:09:15.465249
273,Ж,2010-09-04 02:09:54,Город Санкт-Петербург,2023-09-22 06:37:34.465252
274,М,2009-12-19 01:06:58,Новосибирская область,2023-10-17 16:04:43.465255
275,Ж,2007-01-08 15:58:10,Краснодарский край,2023-10-08 16:50:19.465257
276,Ж,2008-08-18 22:53:16,Краснодарский край,2023-09-24 12:52:20.465259
277,Ж,2007-10-29 13:57:37,Город Санкт-Петербург,2023-10-03 11:07:11.465262
278,М,2010-02-08 04:47:00,Нижегородская область,2023-09-23 19:32:24.465264
279,Ж,2006-12-01 15:31:53,Краснодарский край,2023-09-24 17:24:08.465266
280,М,2010-01-13 19:58:05,Город Москва,2023-10-16 01:01:47.465269
281,Ж,2010-04-21 04:09:03,Город Москва,2023-10-09 01:36:36.465271
282,Ж,2009-06-22 19:02:28,Город Москва,2023-10-07 15:15:18.465274
283,Ж,2007-01-12 05:52:20,Город Москва,2023-10-15 23:24:33.465276
284,Ж,2007-12-13 10:44:54,Город Москва,2023-10-16 22:53:37.465279
285,М,2009-04-26 11:08:02,Город Москва,2023-10-13 10:02:34.465281
286,М,2009-06-01 05:12:44,Город Москва,2023-09-23 10:57:30.465284
287,М,2008-10-25 03:34:55,Краснодарский край,2023-09-23 03:22:30.465286
288,М,2008-08-13 13:11:40,Город Санкт-Петербург,2023-09-22 07:58:33.465289
289,М,2007-09-15 21:40:24,Город Москва,2023-09-29 00:21:22.465291
290,М,2009-07-12 09:34:25,Город Санкт-Петербург,2023-10-11 09:43:23.465294
291,Ж,2008-04-17 03:25:03,Нижегородская область,2023-10-16 05:33:03.465296
292,М,2008-12-15 17:29:58,Город Санкт-Петербург,2023-10-09 23:25:56.465298
293,М,2006-11-11 09:52:17,Город Москва,2023-10-11 13:38:26.465301
294,Ж,2010-02-03 07:37:25,Город Санкт-Петербург,2023-09-24 04:39:53.465303
295,М,2007-02-12 12:54:44,Город Москва,2023-09-19 20:44:56.465305
296,М,2006-11-16 18:41:54,Город Санкт-Петербург,2023-10-08 00:01:39.465308
297,Ж,2007-01-17 02:39:03,Город Москва,2023-09-28 00:56:34.465310
298,М,2010-07-29 18:17:41,Город Москва,2023-09-25 23:12:07.465312
299,Ж,2009-07-28 23:41:11,Краснодарский край,2023-10-01 02:18:00.465315
300,М,2008-07-17 12:22:20,Краснодарский край,2023-10-08 10:24:16.465317
301,Ж,2009-01-08 13:16:57,Город Москва,2023-09-30 18:40:43.465320
302,Ж,2008-05-01 23:34:08,Город Москва,2023-10-03 09:53:03.465322
303,Ж,2009-07-08 17:08:16,Краснодарский край,2023-10-14 06:31:05.465324
304,Ж,2010-04-28 04:25:07,Город Москва,2023-10-14 10:51:14.465327
305,Ж,2009-08-26 23:10:53,Город Москва,2023-09-27 03:05:40.465329
306,Ж,2010-07-02 00:38:14,Город Москва,2023-09-22 08:47:29.465332
307,Ж,2008-01-09 21:36:54,Город Санкт-Петербург,2023-09-18 17:31:19.465334
308,Ж,2009-11-29 17:06:55,Город Москва,2023-10-14 22:30:23.465336
309,М,2010-02-13 05:26:45,Новосибирская область,2023-09-27 03:56:15.465339
310,Ж,2008-12-14 13:34:26,Город Москва,2023-09-28 20:14:49.465341
311,Ж,2009-03-17 06:50:39,Краснодарский край,2023-10-12 14:54:35.465344
312,Ж,2007-07-10 01:21:41,Город Санкт-Петербург,2023-09-19 13:28:49.465346
313,М,2009-06-23 02:47:56,Краснодарский край,2023-10-04 23:35:59.465349
314,М,2010-04-01 01:06:47,Нижегородская область,2023-10-08 11:30:16.465351
315,М,2008-01-19 22:07:30,Город Москва,2023-10-10 04:13:00.465353
316,Ж,2008-11-13 07:30:37,Город Москва,2023-09-30 01:42:52.465356
317,Ж,2009-02-16 05:18:14,Новосибирская область,2023-10-16 11:01:14.465358
318,Ж,2008-04-07 04:00:50,Город Москва,2023-09-17 22:10:54.465361
319,Ж,2010-09-09 18:11:33,Город Москва,2023-10-05 16:07:16.465363
320,М,2008-07-24 23:40:02,Краснодарский край,2023-10-09 19:49:03.465365
321,Ж,2007-05-09 00:49:21,Город Санкт-Петербург,2023-10-02 03:56:34.465368
322,М,2010-05-18 18:20:13,Краснодарский край,2023-09-29 19:12:26.465370
323,М,2007-10-27 00:55:15,Нижегородская область,2023-10-13 02:38:04.465373
324,М,2007-07-15 03:21:10,Город Санкт-Петербург,2023-09-30 15:58:35.465375
325,М,2008-03-15 10:51:57,Город Москва,2023-10-03 09:01:03.465377
326,Ж,2008-11-02 07:55:30,Новосибирская область,2023-09-21 03:00:02.465380
327,М,2010-08-01 03:50:31,Краснодарский край,2023-10-08 09:31:53.465382
328,Ж,2008-06-24 09:52:36,Город Москва,2023-10-04 11:55:37.465385
329,М,2010-06-24 20:37:04,Город Санкт-Петербург,2023-10-11 16:25:33.465387
330,Ж,2010-01-25 06:06:41,Город Москва,2023-10-17 07:28:37.465389
331,Ж,2009-02-02 12:45:21,Город Москва,2023-09-23 10:49:23.465392
332,Ж,2008-06-11 21:06:08,Город Москва,2023-10-02 19:59:23.465394
