user_id,age,avg_session_time,avg_tries_cnt,avg_progress
11432,39,10.84,5.4,93.31
6520,15,5.23,0.96,23.87
2490,20,15.03,4.93,3.26
9937,15,9.7,1.37,83.8
8017,14,1.15,7.4,75.59
9080,13,27.31,4.04,88.68
10822,34,25.72,4.79,95.72
461,14,12.45,1.47,8.55
6320,16,6.34,3.79,51.04
2976,13,17.83,3.99,5.37
3412,20,6.54,0.61,77.64
985,16,34.06,3.72,3.56
5313,11,3.4,1.03,76.52
5913,18,40.66,2.84,53.48
6225,12,13.76,7.51,21.69
11732,31,14.48,1.58,92.34
7810,12,34.6,3.42,32.32
9269,13,4.23,3.73,87.81
1209,11,5.19,2.58,0.92
2580,14,3.0,0.66,7.92
2663,21,23.05,5.45,7.09
9405,16,3.14,6.21,87.62
5147,12,23.8,9.15,51.91
8995,16,10.9,1.47,79.33
10000,16,1.56,4.84,89.04
90,17,17.91,2.68,8.9
3825,14,5.83,2.7,77.38
11124,30,4.85,1.81,98.93
7200,16,11.94,5.58,44.76
9484,17,31.04,1.92,80.54
1456,13,5.21,3.74,1.95
4536,19,0.43,3.86,64.64
6127,17,2.82,3.45,52.06
4255,16,5.43,2.39,64.29
7482,19,13.94,7.28,56.31
3179,17,25.12,3.41,64.04
6746,16,26.14,1.29,50.21
3623,13,13.05,9.5,14.3
6579,22,0.26,4.47,37.44
1330,10,14.13,1.63,4.99
297,16,19.86,3.1,4.1
5726,23,3.15,4.62,48.41
8435,17,4.23,14.46,32.59
10103,37,49.92,5.17,97.34
3465,18,8.77,3.27,50.08
1788,14,4.5,1.52,0.65
6614,17,2.49,2.55,68.28
9686,14,15.37,7.16,86.97
7520,13,1.63,2.72,40.14
6015,12,10.79,1.72,22.84
4787,23,1.57,9.27,20.72
6932,15,23.71,3.16,30.05
7652,19,13.28,3.57,61.57
657,16,11.83,0.62,7.54
2528,12,19.94,0.59,4.36
6492,19,9.95,4.3,31.2
1996,14,0.43,7.54,5.52
11522,36,10.5,8.39,99.94
5301,14,94.34,6.89,20.72
7570,16,2.88,4.38,57.28
10114,40,11.57,9.19,96.25
9690,12,16.31,7.31,86.76
6964,13,2.11,10.59,52.04
94,16,39.7,1.2,2.65
5470,16,1.98,0.96,12.49
1249,17,16.57,1.71,9.88
9113,15,3.9,1.4,89.39
7959,13,1.93,5.04,14.96
2519,13,16.64,1.54,2.16
3170,15,11.96,1.28,40.12
11435,36,7.49,1.62,96.45
5323,21,18.16,1.05,67.74
8768,17,36.96,12.3,30.13
8876,17,33.56,6.98,24.11
5984,15,11.77,3.39,47.24
8042,12,4.13,2.86,46.73
342,13,5.46,2.07,0.36
4778,16,12.97,0.85,47.51
10752,37,1.26,9.03,94.74
853,11,70.65,2.27,8.52
5722,15,21.99,1.84,65.9
4215,14,27.68,7.56,12.19
11470,33,31.78,2.79,97.79
550,17,48.37,3.39,1.5
8668,12,2.79,9.42,70.68
1694,11,18.72,3.16,6.89
11018,26,17.61,2.57,98.24
7496,15,35.85,8.62,24.89
2536,16,60.29,6.92,2.25
837,18,2.69,4.31,2.94
3041,9,10.75,3.59,71.8
7165,14,100.64,3.17,43.65
9623,16,5.88,4.76,89.94
2974,18,7.92,6.67,7.23
4992,11,5.62,1.4,13.14
6000,14,2.34,0.65,21.89
6032,16,6.73,1.01,31.05
2099,15,2.6,4.48,9.02
3903,17,12.5,3.84,58.84
8229,21,1.29,1.04,76.33
7490,17,15.07,0.13,38.1
3312,14,0.98,4.03,76.97
8825,21,9.96,3.89,17.38
6063,14,22.29,2.33,35.85
8248,15,7.96,3.37,23.47
3249,12,41.91,7.14,13.56
559,10,27.66,7.83,3.83
5692,12,2.95,5.58,26.42
424,17,15.03,6.67,9.36
1732,16,3.75,6.54,5.33
2418,16,24.62,1.09,0.54
4584,15,5.24,3.32,47.92
7966,15,20.87,5.06,46.64
4996,19,7.49,4.19,18.31
3663,20,1.74,0.72,53.63
9075,16,19.05,7.12,82.92
9116,15,21.31,4.17,83.92
924,16,10.06,6.56,6.71
1258,13,12.38,9.13,6.08
9089,16,13.25,6.4,87.39
3079,16,29.53,6.87,75.75
497,13,0.17,3.0,0.3
10630,33,2.72,4.77,95.13
110,16,39.08,4.35,2.94
2872,14,10.49,4.2,4.14
4182,16,28.12,4.89,43.58
2593,11,8.05,4.73,3.73
9516,15,10.43,2.63,82.99
2128,19,6.29,5.27,2.29
6405,11,1.27,1.65,52.78
3475,16,20.98,6.19,72.84
413,17,10.23,8.73,7.36
5179,20,16.72,5.94,71.35
762,16,0.38,3.94,7.6
1515,12,33.79,3.29,0.29
7441,19,1.57,1.43,47.81
2962,20,6.58,3.85,2.28
11963,36,8.29,291.77,96.84
6790,14,0.47,13.22,53.05
7412,17,4.61,1.77,45.96
1748,13,27.09,5.66,3.53
11873,34,20.05,3.05,92.98
3348,14,25.75,2.75,72.73
10248,34,28.89,2.91,96.13
2628,14,4.38,1.19,0.15
9211,20,12.98,11.1,87.31
4544,16,0.67,3.97,17.48
4405,24,26.72,7.66,76.37
7596,15,7.86,5.02,58.11
2081,17,2.39,3.16,8.56
1500,13,9.2,3.56,1.18
1750,16,20.32,4.48,8.89
946,17,1.45,5.63,0.92
2115,14,37.06,2.79,1.61
6129,16,8.07,1.48,33.16
4515,20,9.9,2.91,12.79
5559,15,2.23,5.06,46.5
8750,18,26.09,5.65,24.88
9936,11,62.66,1.32,81.74
6530,17,5.06,3.77,51.68
11762,37,0.97,6.32,98.57
641,17,3.52,1.25,1.85
3711,16,36.42,2.59,11.43
7387,12,17.74,1.19,14.61
6094,12,18.19,6.52,78.1
2678,18,10.53,0.95,5.77
1480,9,33.45,4.87,2.24
8064,10,0.34,1.56,72.74
2054,16,3.97,7.17,4.36
7793,18,3.38,2.87,77.96
294,20,2.42,2.79,0.75
4668,18,37.85,3.47,36.2
4085,21,36.17,1.88,44.44
201,14,23.88,2.53,6.97
10858,40,7.79,4.95,94.36
8822,11,5.94,0.67,11.05
4862,17,9.31,5.54,66.8
8071,15,15.74,2.59,38.39
10300,39,19.66,2.88,94.42
1442,12,1.97,7.24,4.05
11833,31,10.33,2.5,95.19
4839,15,58.62,5.39,11.26
7806,19,12.14,3.9,30.89
9084,13,28.8,1.97,81.6
1278,17,5.07,5.16,6.12
10617,27,21.34,4.4,92.93
11552,36,40.23,1.16,90.97
178,19,4.18,1.52,2.96
2221,17,14.01,2.88,0.75
11742,37,35.72,7.44,92.33
7115,19,2.25,0.58,62.58
3533,17,36.44,6.64,78.63
10264,39,8.78,5.45,96.32
5473,19,25.16,7.12,64.02
3404,16,11.0,3.11,11.97
5286,12,15.46,2.21,56.89
11458,34,10.82,6.44,95.89
10683,34,14.08,2.16,93.31
10395,31,18.66,2.25,95.11
3146,15,29.13,2.28,63.85
4481,18,3.12,3.22,25.3
8267,22,0.46,2.0,33.23
7044,18,18.6,6.01,59.58
11441,32,1.86,10.62,95.0
4750,15,3.03,15.16,43.72
5081,12,7.3,3.77,23.83
310,16,1.94,7.05,6.57
6486,16,1.93,6.31,21.73
2468,17,6.27,12.0,2.21
9667,16,6.88,5.04,83.04
7087,19,44.73,2.35,69.16
142,25,10.96,7.68,9.46
798,16,3.82,1.89,0.5
8647,16,0.92,2.0,29.51
8482,17,7.95,1.58,25.16
7526,16,1.05,4.47,70.81
11646,29,9.27,0.27,93.17
8655,12,5.54,3.16,19.6
7950,22,15.63,1.07,58.41
4133,10,1.54,7.52,14.67
357,17,13.09,3.56,5.72
11085,30,1.73,2.91,96.81
654,13,12.51,5.05,1.92
2287,19,8.39,0.85,4.52
10613,33,26.52,1.71,93.44
7613,16,21.55,1.3,18.73
7942,16,12.43,4.65,40.26
6014,16,8.86,0.98,46.27
8045,17,1.08,4.13,76.71
611,15,20.34,8.64,4.74
5012,15,19.65,1.33,26.22
2662,18,34.01,5.0,4.14
10853,41,6.95,4.9,98.0
9411,14,22.01,4.4,83.56
3862,16,11.67,1.99,10.31
6036,18,20.21,2.77,29.97
6969,16,13.6,0.87,64.88
1197,17,15.27,2.39,7.8
11956,38,0.63,772.87,93.45
10299,34,1.54,11.33,90.69
6682,13,4.6,1.41,25.73
7510,18,40.97,1.19,77.45
8657,13,31.94,3.53,71.72
3134,19,13.53,1.27,72.35
3008,11,52.41,2.16,58.61
5546,17,9.09,2.46,63.9
10124,36,6.51,3.36,98.72
5084,13,5.22,1.79,47.49
5188,18,35.96,1.91,28.7
3115,20,3.04,5.63,12.71
9188,15,28.38,1.45,83.81
3573,15,9.84,0.74,73.92
4546,15,3.4,2.05,59.98
1581,14,9.16,1.98,3.85
6933,19,12.63,0.89,39.79
468,15,25.01,6.07,9.23
10885,36,24.93,6.8,92.25
3748,21,5.92,2.92,78.1
5341,16,24.57,1.08,21.14
1019,16,17.63,0.98,5.41
2161,18,8.52,3.63,8.8
10294,38,0.54,10.01,99.36
10878,40,3.83,1.13,98.87
11560,31,8.7,10.14,97.43
10966,30,5.89,3.98,94.45
9653,15,9.49,5.46,89.14
1661,18,7.84,0.85,2.99
7847,13,1.06,10.34,34.18
7164,13,4.2,1.23,28.04
10579,30,9.06,2.0,98.15
10412,34,8.77,8.14,92.87
5495,17,16.06,1.57,53.22
6328,16,0.23,5.79,62.72
9313,15,16.88,10.55,83.29
8614,18,8.98,1.68,42.98
9975,18,11.99,2.38,89.72
1964,20,1.1,1.23,3.46
7224,10,1.1,0.64,58.48
3232,16,0.95,1.63,38.25
512,17,31.69,2.09,3.63
6734,16,10.76,1.29,30.6
6837,16,77.08,0.91,43.55
4205,14,1.57,4.34,35.66
1860,18,9.77,4.35,4.76
6951,19,2.32,3.5,11.03
10355,41,7.22,7.12,98.05
5653,15,31.59,4.88,19.37
9027,15,22.98,3.33,85.65
10329,49,13.86,2.68,90.29
11048,34,8.21,4.56,94.61
4083,15,3.43,6.17,39.54
1083,16,4.74,4.96,0.46
4310,16,13.03,3.61,44.16
3618,20,15.43,2.18,41.51
3945,13,44.43,13.7,49.66
2476,15,5.49,9.62,9.0
2978,16,16.24,2.42,7.23
6757,15,2.59,2.19,49.4
2467,18,3.61,3.16,3.91
8676,16,31.75,2.75,31.44
5311,15,2.91,3.15,76.24
7255,14,21.08,0.84,63.89
11939,38,12.61,501.81,99.92
5541,7,27.2,3.76,71.04
9519,16,16.81,4.51,83.49
11704,41,51.53,4.79,92.12
516,14,29.07,3.66,9.33
11149,36,2.69,2.93,98.48
9468,17,14.43,4.52,82.97
7581,15,2.29,8.34,60.83
950,17,5.9,3.13,0.02
2655,13,6.4,0.91,4.54
7829,21,11.73,7.79,39.87
7048,19,5.82,5.94,57.06
9337,10,10.3,2.57,89.9
5320,17,1.72,2.93,56.21
5481,15,1.9,5.79,12.92
4246,24,0.19,5.67,64.41
3288,18,44.97,4.24,35.66
8869,18,35.46,10.27,60.31
4527,17,11.33,1.19,59.65
11491,33,6.46,1.47,99.16
2970,16,24.13,5.03,9.84
11383,31,37.48,2.61,90.72
8539,14,8.61,0.33,51.85
9913,16,11.79,1.99,88.8
9734,11,5.75,2.94,85.36
7784,12,42.15,0.35,55.88
11117,37,4.45,5.05,98.16
10257,37,29.76,4.53,90.93
6702,14,11.38,3.51,69.57
6907,19,27.44,2.94,22.18
11668,35,0.92,0.9,95.58
3639,17,20.71,5.04,12.3
8077,15,1.74,4.43,28.77
4581,17,45.94,1.83,31.76
8397,13,11.13,1.15,22.66
3678,11,11.19,2.63,67.92
6642,23,18.11,4.49,42.8
2814,15,28.87,1.04,9.5
11819,38,20.5,9.84,97.53
8212,16,15.34,1.28,57.6
10271,39,15.56,2.37,98.73
11694,44,64.43,1.35,96.09
394,12,11.22,2.95,2.72
5926,17,5.44,2.96,33.87
7603,14,1.26,4.47,21.17
640,16,3.86,4.68,3.85
4292,21,2.85,0.37,59.13
9249,16,5.32,3.28,88.94
10462,32,14.98,2.02,91.78
10893,37,46.68,4.41,90.0
894,18,1.81,3.83,9.6
11931,29,2.35,667.72,92.5
9376,18,0.26,1.51,87.77
7440,17,2.71,0.4,65.9
823,15,2.39,1.46,2.27
2621,13,4.46,3.29,3.1
10349,34,10.56,3.39,99.16
1622,16,0.17,6.15,0.87
7331,9,13.35,3.03,56.32
7080,20,20.85,0.91,34.4
3381,18,12.62,6.27,15.53
6353,18,4.74,1.6,26.52
7405,16,4.74,3.44,47.8
7205,16,31.92,4.6,22.03
1279,14,9.16,0.44,2.49
2727,15,4.14,0.95,0.66
4299,13,24.22,7.42,63.16
8028,15,7.16,7.66,77.27
4072,14,3.1,4.16,61.84
6181,12,18.19,3.13,74.01
4545,20,16.0,2.5,75.83
1129,15,8.11,3.37,4.25
6673,21,8.39,6.22,66.41
7601,22,10.57,6.14,49.33
4206,12,31.04,4.49,29.63
1139,19,35.52,0.48,9.37
7691,15,67.16,3.08,40.92
11272,33,14.67,9.84,91.42
5627,16,10.09,3.52,49.83
1600,16,5.77,0.41,7.7
527,22,0.24,5.17,3.64
9630,17,3.02,1.19,81.98
7897,19,9.98,1.69,72.17
9132,14,1.62,1.24,85.73
11116,42,12.15,9.84,90.81
4998,15,24.22,4.83,65.44
6198,16,19.86,4.45,41.41
1847,19,7.37,3.81,7.69
1970,12,4.73,3.31,2.92
10914,32,14.72,1.79,97.75
2721,18,0.79,4.62,9.45
1752,11,4.51,4.27,2.59
4558,18,3.04,7.71,40.03
4240,17,18.79,0.99,76.21
5050,17,1.99,7.17,43.13
6073,20,15.62,3.81,48.33
3086,14,0.34,4.29,70.69
4177,15,5.79,4.16,24.63
10389,38,31.12,9.19,90.08
7042,18,0.53,3.03,20.11
8782,21,9.35,1.47,60.33
2462,17,13.03,10.17,8.22
2392,13,7.59,6.2,5.6
9823,12,0.82,0.28,80.6
218,14,47.56,3.41,2.67
8295,10,7.79,5.91,33.45
11021,34,3.95,2.2,94.7
6518,15,0.77,4.32,43.04
2338,17,2.22,3.29,8.2
4638,14,21.12,5.05,53.39
3406,14,0.44,1.59,36.92
8753,15,35.63,2.62,27.18
4848,16,37.38,0.19,47.16
3337,18,1.32,6.32,25.92
4566,11,0.21,2.83,54.56
10318,31,23.82,5.55,91.61
10675,42,0.83,13.88,92.31
11511,33,22.77,4.32,90.47
6075,16,48.59,1.08,65.79
7785,13,1.93,1.39,10.84
5051,7,9.28,3.76,34.75
4944,24,49.5,1.02,46.58
305,15,9.5,2.12,3.73
4621,18,34.06,2.18,42.17
6641,19,8.65,4.67,74.11
3168,15,6.25,1.56,63.25
9562,13,4.31,2.05,84.92
838,18,0.6,1.78,6.0
9671,19,5.49,3.55,85.84
11624,38,4.2,1.9,98.02
827,17,5.06,0.47,5.62
9216,15,4.32,1.52,88.55
9278,16,0.74,9.68,85.08
4876,18,6.94,2.57,19.82
2259,11,7.44,4.57,0.55
5115,15,10.14,9.84,70.96
4370,12,2.76,4.57,43.34
5724,15,12.38,5.57,44.97
4190,16,9.45,2.19,24.81
10014,33,2.85,1.86,98.96
11897,40,15.49,1.06,98.87
9238,20,1.49,4.07,85.82
2122,12,6.53,5.23,1.96
2735,24,46.02,1.08,1.12
4755,13,3.32,4.04,15.6
4351,19,1.83,0.9,76.25
3039,12,3.76,2.33,65.52
6896,13,4.42,1.79,55.32
11767,34,2.53,4.54,98.09
5273,18,16.64,1.68,25.45
4577,8,2.13,1.34,69.05
3096,17,24.33,2.4,40.7
889,21,1.16,2.32,4.78
817,16,18.89,1.81,4.56
8217,18,12.38,5.43,22.97
3432,17,0.74,3.12,43.5
11386,31,17.36,5.2,95.06
10593,34,4.74,4.12,90.45
6989,11,14.57,4.09,76.11
1342,12,30.59,5.7,8.42
5466,16,2.11,5.99,61.61
3598,18,11.63,2.18,51.04
11988,31,5.25,49.72,95.28
4503,14,24.8,2.9,61.79
11959,34,9.45,438.34,91.5
5091,15,0.89,4.61,54.66
3515,13,27.71,1.07,43.0
5857,19,4.65,7.32,64.53
2855,16,18.56,4.92,0.23
4214,16,0.43,2.39,66.72
11900,35,1.01,2.73,92.39
149,18,5.14,4.58,6.28
4447,18,11.2,1.45,67.75
2183,14,1.47,7.25,9.07
10745,34,0.25,2.21,96.63
9719,14,20.33,5.36,83.03
3402,20,5.83,5.42,67.25
11780,28,45.42,1.66,97.42
319,12,21.87,3.02,2.21
4979,22,41.7,6.46,19.64
2439,14,10.38,1.05,4.07
10623,34,13.68,0.93,97.59
3969,19,11.45,5.58,18.02
10773,27,14.77,1.8,93.49
4514,15,15.51,2.78,70.91
2497,15,4.06,1.51,1.67
3983,14,1.35,5.88,49.97
1986,10,14.32,3.69,0.39
2963,14,5.06,0.62,6.92
7918,12,9.61,5.92,63.81
5626,14,36.98,2.3,60.39
2283,17,6.95,5.92,2.98
6087,18,9.23,0.74,26.86
8605,17,14.0,0.79,70.07
180,16,10.54,6.01,7.43
10820,37,4.04,2.45,91.04
9118,10,0.41,5.75,88.31
5617,16,45.04,3.5,32.29
11015,37,2.3,10.62,90.26
856,18,11.01,1.84,1.28
5488,15,79.32,1.37,35.23
6049,20,1.23,2.49,55.65
4541,14,4.9,0.19,19.14
2506,16,11.83,4.73,8.79
8463,12,11.2,1.71,44.87
6384,19,5.92,0.64,16.61
7623,17,2.8,6.58,35.85
9848,14,3.88,1.93,81.45
6690,11,36.49,11.03,20.95
8639,13,48.68,2.7,29.84
2344,16,7.21,5.63,5.42
2169,13,8.51,7.93,1.21
4115,20,0.48,4.35,61.13
369,13,7.15,4.68,0.43
6332,20,0.36,4.78,37.62
4324,17,3.93,10.76,66.02
6495,13,8.74,1.0,68.29
7996,11,0.42,5.32,34.04
6582,18,16.82,1.86,22.07
1077,14,6.42,9.87,0.71
356,15,21.67,6.64,8.64
2639,14,46.11,4.31,7.72
7028,16,11.95,4.97,29.07
7903,13,23.82,8.78,10.86
9257,13,4.11,3.95,88.49
5895,13,14.56,5.37,54.97
6815,18,45.24,3.47,47.06
5762,12,45.42,1.73,21.12
3130,15,33.84,2.89,74.59
4140,11,9.81,5.72,18.93
10517,27,5.57,6.46,99.95
11583,35,13.84,4.41,96.44
3698,15,27.15,9.57,10.93
8210,22,7.99,3.12,55.12
3061,19,34.36,1.72,23.07
9126,10,50.55,1.35,86.09
2565,14,4.41,6.4,1.14
10616,28,16.71,7.35,97.87
3176,15,14.39,10.36,13.43
10919,29,6.3,5.81,90.59
11562,43,13.55,3.49,92.66
8269,15,5.69,4.94,66.09
5071,21,9.38,6.61,13.9
8468,16,2.4,5.02,51.99
3334,16,1.67,1.16,72.98
11962,38,34.64,703.29,95.51
5055,16,6.61,3.01,70.49
4291,14,0.95,2.08,30.44
4283,21,20.35,6.26,57.72
10498,37,42.82,2.72,97.61
6658,13,8.07,2.27,60.77
8126,15,4.99,2.41,49.63
1620,15,6.96,3.79,3.48
7045,15,1.09,4.63,51.49
11717,39,0.44,3.89,99.47
10293,40,1.78,2.0,93.42
9016,15,8.85,0.78,88.7
6562,17,19.36,2.2,72.74
11005,29,46.83,2.43,99.81
9416,18,6.61,15.89,82.56
11042,40,40.44,1.6,90.03
5170,18,2.09,1.06,31.65
1449,13,19.84,3.46,2.15
6881,11,15.95,7.51,36.4
11142,31,87.6,0.7,92.18
5182,13,8.52,7.81,74.6
6278,17,15.93,3.82,35.97
7053,17,1.25,4.94,46.55
2032,19,8.98,2.24,1.26
1852,13,32.75,5.16,0.93
8510,21,4.09,5.61,44.83
7625,19,9.63,1.26,60.34
8738,16,21.03,3.61,22.17
5927,21,8.21,2.7,46.75
